"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.572927750E0,-5.119406873E-1,-8.424878812E-1,-3.729078155E0
3.582906750E0,-2.101450568E-1,-9.209183389E-1,-3.850559322E0
3.592886750E0,8.719375290E-2,-8.753954262E-1,-3.787038095E0
3.602865750E0,2.504093857E-1,-7.605485094E-1,-3.354140069E0
3.612845750E0,2.873691973E-1,-6.265905529E-1,-2.510131912E0
3.622824750E0,1.271180663E-1,-4.620510739E-1,-1.755294963E0
3.632804750E0,5.860444978E-3,-1.801147074E-1,-1.164113393E0
3.642783750E0,6.211277917E-2,2.611290497E-1,-7.814324248E-1
3.652763750E0,1.188257826E-1,6.980558074E-1,-7.120481944E-1
3.662742750E0,-7.126637600E-2,1.029024001E0,-7.083422291E-1
3.672722750E0,-3.777067423E-1,1.164301089E0,-6.395994383E-1
3.682702250E0,-4.031746555E-1,1.288745041E0,-2.764996254E-1
3.692682250E0,-2.385289034E-1,1.316736247E0,4.956181848E-1
3.702661250E0,-2.311350992E-1,1.140166706E0,1.318582213E0
3.712641250E0,-3.367542326E-1,9.466367322E-1,2.085075002E0
3.722620250E0,-6.055604571E-1,8.025835580E-1,2.643299325E0
3.732600250E0,-8.658328897E-1,7.089807451E-1,3.030553985E0
3.742579250E0,-5.396643832E-1,9.643953109E-1,3.621243804E0
3.752558250E0,2.610969631E-1,1.558730283E0,4.205411637E0
3.762538250E0,4.385234861E-1,1.940041834E0,4.027068052E0
3.772517250E0,-3.850880481E-1,1.496930476E0,3.457936918E0
3.782497250E0,-8.463793494E-1,1.115991393E0,3.276636395E0
3.792476250E0,-6.315137623E-1,1.284819220E0,3.382841712E0
3.802456250E0,-6.549806853E-1,1.085404024E0,3.372319062E0
3.812435250E0,-7.715517998E-1,5.029114169E-1,3.308682645E0
3.822415250E0,-6.046028294E-1,1.715865433E-2,3.068920491E0
3.832394250E0,-4.251584322E-1,-3.588056177E-1,2.717553116E0
3.842374250E0,-3.455418668E-1,-6.491678220E-1,2.130062894E0
3.852353250E0,-7.950798992E-2,-8.245708430E-1,1.586323879E0
3.862333250E0,1.470352542E-1,-8.808976561E-1,1.264793676E0
3.872312250E0,1.443377875E-2,-8.369681096E-1,9.874713475E-1
3.882292250E0,-3.283259097E-1,-8.148615414E-1,6.886312652E-1
3.892271250E0,-6.581887601E-1,-7.722598976E-1,3.476438677E-1
3.902251250E0,-8.282890143E-1,-6.638373166E-1,-4.898563385E-2
