"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.823259833E0,-1.546041241E1,-1.435402214E1,1.304044398E1,2.480152178E1
2.833239833E0,-1.582877062E1,-1.464837098E1,1.407026495E1,2.575067198E1
2.843219833E0,-1.590680522E1,-1.519387293E1,1.458950472E1,2.639571698E1
2.853199833E0,-1.593515018E1,-1.565763197E1,1.483526085E1,2.681744609E1
2.863179833E0,-1.609490313E1,-1.609496628E1,1.491508003E1,2.721311189E1
2.873159833E0,-1.650511104E1,-1.637760665E1,1.490221849E1,2.761740042E1
2.883139833E0,-1.679691517E1,-1.654771619E1,1.455691468E1,2.771041384E1
2.893120833E0,-1.629818977E1,-1.706149466E1,1.345351468E1,2.716105018E1
2.903100833E0,-1.461712346E1,-1.757039538E1,1.167498113E1,2.566484514E1
2.913080833E0,-1.234382658E1,-1.785626575E1,9.470842781E0,2.368360497E1
2.923060833E0,-1.011128714E1,-1.817603009E1,7.131700997E0,2.198789114E1
2.933040833E0,-8.277952316E0,-1.827657414E1,5.162338300E0,2.071732110E1
2.943020833E0,-6.833622222E0,-1.802541050E1,3.874979634E0,1.966289102E1
2.953000833E0,-5.557366249E0,-1.789732841E1,3.495771034E0,1.906355420E1
2.962980833E0,-4.127746580E0,-1.760253051E1,3.936060525E0,1.850351168E1
2.972960833E0,-2.315223164E0,-1.662708396E1,4.801569479E0,1.746067721E1
2.982940833E0,-2.625048995E-1,-1.530110151E1,5.582420983E0,1.628975261E1
2.992920833E0,2.138403363E0,-1.425864821E1,5.917410307E0,1.558517123E1
3.002900833E0,4.538372562E0,-1.330953284E1,5.771069702E0,1.520018866E1
3.012880833E0,6.435298197E0,-1.291284837E1,5.285699347E0,1.536532895E1
3.022860833E0,7.687775298E0,-1.237579799E1,4.408247455E0,1.522152786E1
3.032840833E0,9.254366578E0,-1.141701016E1,3.959039791E0,1.522055905E1
3.042821833E0,1.073993416E1,-1.076846623E1,4.204538648E0,1.577923306E1
3.052801833E0,1.258856764E1,-1.049275247E1,4.673861904E0,1.704156316E1
3.062781833E0,1.485534721E1,-9.770228993E0,4.974801722E0,1.846313536E1
3.072761833E0,1.662136538E1,-8.652943611E0,4.752766571E0,1.933214966E1
3.082741833E0,1.798278546E1,-7.465336105E0,3.680638651E0,1.981562306E1
3.092721833E0,2.024462296E1,-6.184253840E0,2.282416776E0,2.129082387E1
3.102701833E0,2.227525103E1,-5.336837341E0,1.187183510E0,2.293639130E1
3.112681833E0,2.290008918E1,-4.368344302E0,4.566616952E-1,2.331748391E1
3.122661833E0,2.218690896E1,-3.757819266E0,1.538449216E-1,2.250341759E1
3.132641833E0,2.061257187E1,-3.582440803E0,-6.733215004E-3,2.092156893E1
3.142621833E0,1.900247088E1,-3.574234236E0,-1.141085596E-1,1.933603037E1
3.152601833E0,1.772648446E1,-3.627302396E0,4.262045722E-1,1.809881831E1
3.162581833E0,1.699803600E1,-4.270366310E0,1.202191046E0,1.756742780E1
3.172561833E0,1.670411752E1,-4.511383569E0,1.692312849E0,1.738516743E1
